stockSymbol, buyingPrice, buyingDate, sellingPrice, sellingDate, quantity, PnL, ReturnOnEquity, isTradeActive
SHREECEM,10894.0,2016-02-18 05:30:00.0,12881.65,2016-05-17 05:30:00.0,0.9179365,1824.5371,18.245373,false
SHREECEM,16826.4,2018-05-28 05:30:00.0,20618.4,2019-06-06 05:30:00.0,0.5943042,2253.6006,22.536003,false
SHREECEM,19910.25,2020-05-22 05:30:00.0,23758.1,2020-12-10 05:30:00.0,0.5022539,1932.5967,19.325966,false
SRTRANSFIN,573.0,2013-10-29 05:30:00.0,732.0,2014-04-03 05:30:00.0,17.452007,2774.8691,27.748692,false
SRTRANSFIN,927.95,2015-07-02 05:30:00.0,1156.6,2016-06-02 05:30:00.0,10.776443,2464.0332,24.640331,false
SRTRANSFIN,939.45,2017-01-10 05:30:00.0,1263.4,2017-11-09 05:30:00.0,10.644526,3448.294,34.48294,false
SRTRANSFIN,1357.95,2018-08-27 05:30:00.0,1044.0,2018-10-05 05:30:00.0,7.364042,-2311.9404,-23.119404,false
SRTRANSFIN,1213.35,2018-11-01 05:30:00.0,925.35,2019-07-24 05:30:00.0,8.241645,-2373.5942,-23.735943,false
SRTRANSFIN,1034.25,2019-09-11 05:30:00.0,1276.95,2020-02-26 05:30:00.0,9.668842,2346.628,23.46628,false
SRTRANSFIN,684.4,2020-06-12 05:30:00.0,1056.5,2020-12-17 05:30:00.0,14.611338,5436.878,54.368782,false
SIEMENS,1071.85,2016-03-21 05:30:00.0,1280.6,2016-08-02 05:30:00.0,9.329664,1947.5674,19.475674,false
SIEMENS,1141.65,2017-01-05 05:30:00.0,1391.9,2017-05-12 05:30:00.0,8.759252,2192.003,21.92003,false
SIEMENS,1243.25,2017-12-21 05:30:00.0,968.25,2018-06-05 05:30:00.0,8.043434,-2211.9438,-22.119442,false
SIEMENS,1003.6,2018-08-01 05:30:00.0,1259.6,2019-07-05 05:30:00.0,9.964129,2550.8174,25.508173,false
SIEMENS,1128.25,2020-06-03 05:30:00.0,1364.25,2020-11-25 05:30:00.0,8.863284,2091.7354,20.917353,false
SBIN,1664.6,2013-10-18 05:30:00.0,2459.3,2014-05-21 05:30:00.0,6.007449,4774.12,47.7412,false
SBIN,287.45,2015-05-15 05:30:00.0,221.1,2015-09-07 05:30:00.0,34.78866,-2308.2275,-23.082275,false
SBIN,254.85,2015-10-16 05:30:00.0,196.05,2016-01-14 05:30:00.0,39.238766,-2307.2397,-23.072397,false
SBIN,195.9,2016-05-27 05:30:00.0,251.15,2016-09-21 05:30:00.0,51.046455,2820.3174,28.203175,false
SBIN,253.9,2018-05-22 05:30:00.0,304.45,2018-08-10 05:30:00.0,39.385586,1990.9424,19.909424,false
SBIN,187.8,2020-06-05 05:30:00.0,239.75,2020-11-19 05:30:00.0,53.248135,2766.2402,27.662403,false
SUNPHARMA,595.35,2013-12-02 05:30:00.0,822.3,2014-09-11 05:30:00.0,16.796843,3812.043,38.12043,false
SUNPHARMA,879.05,2015-08-13 05:30:00.0,651.5,2016-11-04 05:30:00.0,11.375917,-2588.5898,-25.885899,false
SUNPHARMA,675.15,2017-02-06 05:30:00.0,502.6,2017-05-29 05:30:00.0,14.8115225,-2555.7285,-25.557285,false
SUNPHARMA,578.25,2017-07-18 05:30:00.0,450.0,2017-08-11 05:30:00.0,17.293558,-2217.899,-22.17899,false
SUNPHARMA,524.65,2017-09-14 05:30:00.0,630.4,2018-09-11 05:30:00.0,19.060326,2015.6299,20.156298,false
SUNPHARMA,440.9,2019-02-14 05:30:00.0,324.5,2020-03-23 05:30:00.0,22.68088,-2640.0547,-26.400547,false
TCS,2549.55,2015-06-19 05:30:00.0,3103.2,2018-02-05 05:30:00.0,3.9222608,2171.5596,21.715595,false
TCS,2010.85,2018-12-04 05:30:00.0,2332.25,2020-09-24 05:30:00.0,4.9730215,1598.3291,15.983291,false
TATAMOTORS,356.45,2015-10-09 05:30:00.0,276.35,2016-02-11 05:30:00.0,28.054424,-2247.1597,-22.471598,false
TATAMOTORS,346.05,2016-03-08 05:30:00.0,444.25,2016-06-13 05:30:00.0,28.89756,2837.7412,28.377413,false
TATAMOTORS,469.55,2017-05-24 05:30:00.0,364.45,2018-02-21 05:30:00.0,21.296988,-2238.3125,-22.383125,false
TATAMOTORS,269.95,2018-09-06 05:30:00.0,184.35,2018-10-09 05:30:00.0,37.043896,-3170.9575,-31.709576,false
TATAMOTORS,179.95,2019-01-08 05:30:00.0,223.6,2019-04-24 05:30:00.0,55.57099,2425.6738,24.256737,false
TATAMOTORS,139.5,2019-10-17 05:30:00.0,172.2,2019-11-04 05:30:00.0,71.684586,2344.085,23.44085,false
TATAMOTORS,87.0,2020-05-28 05:30:00.0,106.15,2020-06-11 05:30:00.0,114.94253,2201.1494,22.011494,false
TATASTEEL,351.35,2015-04-22 05:30:00.0,269.9,2015-07-23 05:30:00.0,28.461647,-2318.2017,-23.182016,false
TATASTEEL,240.8,2015-10-08 05:30:00.0,312.3,2016-04-05 05:30:00.0,41.52824,2969.2686,29.692684,false
TATASTEEL,625.95,2018-05-15 05:30:00.0,481.25,2019-01-03 05:30:00.0,15.975717,-2311.6865,-23.116865,false
TATASTEEL,498.85,2019-02-21 05:30:00.0,381.9,2019-08-07 05:30:00.0,20.046106,-2344.392,-23.44392,false
TATASTEEL,295.5,2020-05-28 05:30:00.0,421.3,2020-09-04 05:30:00.0,33.840946,4257.1904,42.571903,false
TECHM,542.05,2015-08-04 05:30:00.0,422.05,2016-02-24 05:30:00.0,18.448483,-2213.8184,-22.138184,false
TECHM,486.75,2016-03-17 05:30:00.0,379.45,2017-05-29 05:30:00.0,20.544428,-2204.4165,-22.044167,false
TECHM,402.45,2017-08-01 05:30:00.0,584.35,2018-02-16 05:30:00.0,24.847807,4519.8154,45.198154,false
TECHM,691.15,2019-08-29 05:30:00.0,530.0,2020-03-19 05:30:00.0,14.468638,-2331.6216,-23.316216,false
TITAN,225.55,2014-02-06 05:30:00.0,321.25,2014-05-26 05:30:00.0,44.336067,4242.962,42.42962,false
TITAN,347.05,2015-08-27 05:30:00.0,423.95,2016-09-09 05:30:00.0,28.814293,2215.8203,22.158203,false
TITAN,348.15,2017-01-03 05:30:00.0,440.0,2017-02-22 05:30:00.0,28.723251,2638.2305,26.382307,false
TITAN,854.45,2018-11-01 05:30:00.0,1100.5,2019-04-03 05:30:00.0,11.703435,2879.63,28.7963,false
TITAN,958.9,2020-06-01 05:30:00.0,1306.95,2020-11-25 05:30:00.0,10.428616,3629.6787,36.296787,false
